filepath	total_lines	classification	exclusion_reason	risk_level
.black-vault/ArtifactsLedger.json	1	config		P2
.black-vault/ComplianceLedger.json	1	config		P2
.black-vault/CostLedger.json	1	config		P2
.black-vault/DecisionLog.json	1	config		P2
.black-vault/FindingsRegister.json	1	config		P2
.black-vault/InvariantCatalog.json	1	config		P2
.black-vault/Inventory.tsv	1	source		P2
.black-vault/LineCounts.tsv	1	source		P2
.black-vault/MetricsLedger.json	1	config		P2
.black-vault/ProofLedger.tsv	1	source		P2
.black-vault/README.md	20	doc		P2
.black-vault/RiskRegister.json	1	config		P2
.black-vault/ScanLedger.json	1	config		P2
.black-vault/StateSnapshot.json	9	config		P2
.github/ISSUE_TEMPLATE/design-review.md	23	doc		P0
.github/ISSUE_TEMPLATE/finding.md	43	doc		P0
.github/ISSUE_TEMPLATE/scan-task.md	23	doc		P0
.github/dependabot.yml	17	config		P0
.github/pull_request_template.md	21	doc		P0
.github/workflows/compliance-audit.yml	39	config		P0
.github/workflows/gates-nightly.yml	52	config		P0
.github/workflows/gates-on-pr.yml	52	config		P0
.github/workflows/hardening-dashboard.yml	27	config		P0
.github/workflows/release-hardened.yml	36	config		P0
.gitignore	16	source		P2
.pre-commit-config.yaml	15	config		P0
Cargo.lock	1665	source		P2
Cargo.toml	34	config		P2
README.md	42	doc		P2
apps/desktop/index.html	16	source		P1
apps/desktop/package.json	29	config		P1
apps/desktop/src/App.tsx	79	source		P1
apps/desktop/src/components/MissionControlShell.tsx	131	source		P1
apps/desktop/src/lib/commandBus.ts	44	source		P1
apps/desktop/src/main.tsx	12	source		P1
apps/desktop/src/styles.css	178	source		P1
apps/desktop/src-tauri/Cargo.toml	13	config		P1
apps/desktop/src-tauri/build.rs	4	source		P1
apps/desktop/src-tauri/src/main.rs	30	source		P1
apps/desktop/src-tauri/tauri.conf.json	29	config		P1
apps/desktop/tsconfig.json	8	config		P1
apps/desktop/vite.config.ts	11	source		P1
crates/operator-core/Cargo.toml	18	config		P1
crates/operator-core/src/audit.rs	147	source		P1
crates/operator-core/src/command_bus.rs	39	source		P1
crates/operator-core/src/connectors.rs	202	source		P1
crates/operator-core/src/domain.rs	432	source		P1
crates/operator-core/src/fusion.rs	249	source		P1
crates/operator-core/src/lib.rs	17	source		P1
crates/operator-core/src/model_router.rs	186	source		P1
crates/operator-core/src/risk.rs	135	source		P1
crates/operator-core/src/scheduler.rs	46	source		P1
docs/architecture/modules.md	20	doc		P2
docs/architecture/stack-decision.md	19	doc		P2
docs/architecture/system-blueprint.md	27	doc		P2
docs/operations/mvp-roadmap.md	33	doc		P2
docs/security/security-model.md	17	doc		P2
infra/docker-compose.observability.yaml	18	config		P2
infra/otel/otel-collector.yaml	24	config		P2
infra/prometheus/prometheus.yml	11	config		P2
package.json	14	config		P2
packages/sdk/package.json	21	config		P1
packages/sdk/src/index.ts	50	source		P1
packages/sdk/tsconfig.json	10	config		P1
packages/shared-types/package.json	21	config		P1
packages/shared-types/src/index.ts	133	source		P1
packages/shared-types/tsconfig.json	10	config		P1
packages/ui/package.json	24	config		P1
packages/ui/src/MissionControlLayout.tsx	46	source		P1
